smiles,DockingScore
BrC[C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O,-9.618066787719728
Oc1ccc2c(c1)cccc2c1oc2c(n1)cc(c(c2)O)F,-9.616783142089844
OCC1O[C@@H](S)C(C(C1O)O)O,-9.609251022338867
O=C1CC[C@H](O1)[C@H]([C@@H]([C@@H](c1ccccc1)O)O)O,-9.60836410522461
O=C(c1ccc(c(c1)O)O)NC12CC3CC(C1)CC(C2)C3,-9.607122421264648
OC[C@@H]1C[NH2+]C[C@@H]([C@@H]1O)O,-9.603447914123535
ON1C(=O)COc2c1cccc2F,-9.600570678710938
OC[C@H]1[NH2+][C@H](C([C@H]1O)O)c1c[nH]c2c1ncnc2[S-],-9.599050521850586
OCc1ccccc1CNc1nc(N)nc2c1[nH]cn2,-9.593913078308104
Oc1c(cccc1Br)Oc1cc(Br)c(c(c1O)Br)Br,-9.591787338256836
OC1(NOC(C1)c1ccccc1)C1(C)CCCCC1,-9.590980529785156
CCCCNC(=O)NCC(CCO)(CC)CC,-9.590063095092772
OC1CC(O)(CC(=O)C1O)C(=O)[O-],-9.589574813842772
OCCCSC1CC(=O)N1,-9.586661338806152
CCCCC(P(=O)(C(C(c1ccccc1)C)O)[O-])[NH3+],-9.585739135742188
ONC(=O)N/N=C/c1ccc(cc1)C#N,-9.582691192626951
O=C(c1cccc(c1O)O)NCc1ccc(c(c1)F)F,-9.58206272125244
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)Oc1ccc(cc1)OC,-9.580018997192385
COc1ccc(cc1)Cc1nc2ccccc2nc1O,-9.579814910888672
OC[C@H]1C[C@H](O)[C@@H]([C@@H]([C@H]1CO)O)O,-9.578570365905762
Oc1cccc2c1c(O)c1-c(o2)nnn1,-9.577569007873535
OC1C2[NH+]=C(OC2C(C1O)O)Nc1ccccc1,-9.572797775268556
OCC1NC(=O)N(C1=O)c1cnn(c1)Cc1c(C)noc1C,-9.566944122314451
ONC(=O)Cc1ccc2c(c1)cccc2,-9.566228866577148
OCC1O[C@H](CO)C(C(C1O)O)O,-9.565136909484863
Fc1ccc(c(c1)C(=O)Nc1cnccc1O)C,-9.563241004943848
OC(c1cc(ccc1O)n1cccc1)O,-9.56308364868164
CCc1ccc2c(c1)nc(c(c2C(=O)[O-])O)Cc1ccc(cc1)Cl,-9.561655044555664
C[C@H]([C@H]1[NH2+]C[C@H]([C@H]1O)O)O,-9.555696487426758
CCC(c1ccncc1)NC(=O)N1CCCC(C1)CO,-9.55393123626709
OC(c1ncn2c1nnn(c2=O)C)O,-9.550334930419922
CCOc1ccc(cc1)C(=O)CCC(=O)Nc1ncccc1O,-9.549659729003906
Oc1cc2c(cc1O)c(=O)oc1c2ccc(c1F)F,-9.54843044281006
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)[n+]1ccc(c(n1)O)C(=O)N,-9.539243698120115
O=C(NCc1ccccc1F)NCC(c1cccc(c1)F)O,-9.53679084777832
OC(C[NH+]1CCCCC1)COc1ccc(cc1)Cl,-9.533843994140623
CC(CC(CC(c1ccc(cc1O)C)C)O)C,-9.53349494934082
Clc1ccc(cc1)N(C(=O)C(c1ccc(cc1)Cl)(O)C)O,-9.531481742858888
OC[C@H]([C@H]1OC[C@@H]([C@H]1O)O)O,-9.527372360229492
OC[C@H]1OC([C@@H]([C@@H]1O)O)n1ncc2c1nc(C)[nH]c2=O,-9.525741577148438
CC[NH+]1Cc2c(CC1)ccc1c2nc(O)c(n1)O,-9.525619506835938
OC[C@H]1C[C@H]([NH3+])[C@@H]([C@H]([C@@H]1O)O)O,-9.525486946105955
OCC(COc1cccc2c1cccc2)O,-9.523686408996582
NNC(=O)[C@@H]1OC(CO)C(C(C1O)O)O,-9.522656440734863
Cc1nc2nc(nn2c(c1Cl)O)Cc1ccccc1,-9.520940780639648
OC[C@H]1O[C@@H]([C@H]([C@H]1O)O)n1cnc2c1nc(N)[nH]c2=O,-9.51833152770996
CCc1ccc(c(c1)O)C(c1ccc(cc1)F)O,-9.518328666687012
O=C(c1ccccc1O)NCc1ccnc(c1)n1cccn1,-9.5182466506958
N#Cc1cn(c2c1c(O)ncn2)C1O[C@@H]([C@H]([C@H]1O)O)[C@@H](O)C,-9.516547203063965
O[C@@H]1C=CC(=O)[C@H]1OC(=O)c1c(O)ccc2c1cccc2,-9.515668869018556
Brc1c(cc(c(c1O)O)O)c1cc2c(o1)cccc2,-9.513138771057127
OCc1ccc2c(c1)c1ccc(c(c1c[n+]2C)O)O,-9.506507873535156
ONC(=O)COc1ccc(cc1)C,-9.501930236816406
